District,Year,Taluka,Number of MSME Industries
Dharashiv,2021,Lohara,374
Dharashiv,2021,Umaraga,1243
Palghar,2018,Talasari,126
Palghar,2018,Dahanu,688
Palghar,2018,Vikramgad,76
Palghar,2018,Javhar,76
Palghar,2018,Mokhada,5
Palghar,2018,Wada,394
Palghar,2018,Palghar,12871
Palghar,2018,Vasai,11832
Palghar,2019,Talasari,167
Palghar,2019,Dahanu,738
Palghar,2019,Vikramgad,148
Palghar,2019,Javhar,150
Palghar,2019,Mokhada,39
Palghar,2019,Wada,894
Palghar,2019,Palghar,12608
Palghar,2019,Vasai,11810
Palghar,2020,Talasari,24
Palghar,2020,Dahanu,1161
Palghar,2020,Vikramgad,16
Palghar,2020,Javhar,16
Palghar,2020,Mokhada,2
Palghar,2020,Wada,188
Palghar,2020,Palghar,2001
Palghar,2020,Vasai,975
Palghar,2021,Talasari,182
Palghar,2021,Dahanu,474
Palghar,2021,Vikramgad,83
Palghar,2021,Javhar,140
Palghar,2021,Mokhada,54
Palghar,2021,Wada,438
Palghar,2021,Palghar,6199
Palghar,2021,Vasai,4434
Parbhani,2018,Selu,95
Parbhani,2018,Jintur,78
Parbhani,2018,Parbhani,785
Parbhani,2018,Manvat,82
Parbhani,2018,Pathari,71
Parbhani,2018,Sonpeth,30
Parbhani,2018,Gangakhed,85
Parbhani,2018,Palam,27
Parbhani,2018,Purna,69
Parbhani,2019,Selu,111
Parbhani,2019,Jintur,415
Parbhani,2019,Parbhani,1997
Parbhani,2019,Manvat,121
Parbhani,2019,Pathari,176
Parbhani,2019,Sonpeth,129
Parbhani,2019,Gangakhed,318
Parbhani,2019,Palam,106
Parbhani,2019,Purna,256
Parbhani,2020,Selu,111
Parbhani,2020,Jintur,415
Parbhani,2020,Parbhani,1997
Parbhani,2020,Manvat,121
Parbhani,2020,Pathari,176
Parbhani,2020,Sonpeth,129
Parbhani,2020,Gangakhed,318
Parbhani,2020,Palam,106
Parbhani,2020,Purna,256
Parbhani,2021,Selu,122
Parbhani,2021,Jintur,457
Parbhani,2021,Parbhani,2197
Parbhani,2021,Manvat,133
Parbhani,2021,Pathari,194
Parbhani,2021,Sonpeth,142
Parbhani,2021,Gangakhed,350
Parbhani,2021,Palam,116
Parbhani,2021,Purna,281
Pune,2018,Junnar,1179
Pune,2018,Aambegaon,2503
Pune,2018,Shirur,3144
Pune,2018,Khed,5075
Pune,2018,Maval,1526
Pune,2018,Mulashi,1814
Pune,2018,Haveli,110627
Pune,2018,Pune City,1190
Pune,2018,Daund,2004
Pune,2018,Purandar,912
Pune,2018,Welhe,54
Pune,2018,Bhor,1372
Pune,2018,Baramati,3593
Pune,2018,Indapur,1638
Pune,2019,Junnar,3466
Pune,2019,Aambegaon,2174
Pune,2019,Shirur,7277
Pune,2019,Khed,13455
Pune,2019,Maval,6046
Pune,2019,Mulashi,7167
Pune,2019,Haveli,149952
Pune,2019,Pune City,25007
Pune,2019,Daund,4333
Pune,2019,Purandar,2677
Pune,2019,Welhe,87
Pune,2019,Bhor,2480
Pune,2019,Baramati,6427
Pune,2019,Indapur,4136
Pune,2020,Junnar,3946
Pune,2020,Aambegaon,2475
Pune,2020,Shirur,8283
Pune,2020,Khed,15319
Pune,2020,Maval,6883
Pune,2020,Mulashi,8160
Pune,2020,Haveli,170723
Pune,2020,Pune City,28471
Pune,2020,Daund,4933
Pune,2020,Purandar,3047
Pune,2020,Welhe,97
Pune,2020,Bhor,2829
Pune,2020,Baramati,7317
Pune,2020,Indapur,4709
Pune,2021,Junnar,5841
Pune,2021,Aambegaon,2767
Pune,2021,Shirur,9129
Pune,2021,Khed,13850
Pune,2021,Maval,7060
Pune,2021,Mulashi,3215
Pune,2021,Haveli,64129
Pune,2021,Pune City,111057
Pune,2021,Daund,5605
Pune,2021,Purandar,3631
Pune,2021,Welhe,570
Pune,2021,Bhor,3038
Pune,2021,Baramati,8210
Pune,2021,Indapur,5235
Raigad,2018,Uran,691
Raigad,2018,Panwel,6962
Raigad,2018,Karjat,596
Raigad,2018,Khalapur,792
Raigad,2018,Pen,434
Raigad,2018,Alibag,356
Raigad,2018,Murud,98
Raigad,2018,Roha,616
Raigad,2018,Sudhagad,124
Raigad,2018,Mangaon,378
Raigad,2018,Tala,187
Raigad,2018,Shreevardhan,53
Raigad,2018,Mhasala,22
Raigad,2018,Mahad,535
Raigad,2018,Poladpur,97
Raigad,2019,Uran,1056
Raigad,2019,Panwel,8469
Raigad,2019,Karjat,1053
Raigad,2019,Khalapur,1204
Raigad,2019,Pen,963
Raigad,2019,Alibag,706
Raigad,2019,Murud,194
Raigad,2019,Roha,762
Raigad,2019,Sudhagad,193
Raigad,2019,Mangaon,580
Raigad,2019,Tala,216
Raigad,2019,Shreevardhan,114
Raigad,2019,Mhasala,32
Raigad,2019,Mahad,919
Raigad,2019,Poladpur,125
Raigad,2020,Uran,1032
Raigad,2020,Panwel,7822
Raigad,2020,Karjat,781
Raigad,2020,Khalapur,911
Raigad,2020,Pen,884
Raigad,2020,Alibag,780
Raigad,2020,Murud,181
Raigad,2020,Roha,868
Raigad,2020,Sudhagad,182
Raigad,2020,Mangaon,524
Raigad,2020,Tala,198
Raigad,2020,Shreevardhan,116
Raigad,2020,Mhasala,17
Raigad,2020,Mahad,874
Raigad,2020,Poladpur,107
Raigad,2021,Uran,25204
Raigad,2021,Panwel,53508
Raigad,2021,Karjat,915
Raigad,2021,Khalapur,1015
Raigad,2021,Pen,1126
Raigad,2021,Alibag,966
Raigad,2021,Murud,204
Raigad,2021,Roha,1053
Raigad,2021,Sudhagad,256
Raigad,2021,Mangaon,852
Raigad,2021,Tala,216
Raigad,2021,Shreevardhan,185
Raigad,2021,Mhasala,29
Raigad,2021,Mahad,1125
Raigad,2021,Poladpur,154
Ratnagiri,2018,Mandangad,0
Ratnagiri,2018,Dapoli,7
Ratnagiri,2018,Khed,4
Ratnagiri,2018,Chiplun,11
Ratnagiri,2018,Guhagar,0
Ratnagiri,2018,Ratnagiri,31
Ratnagiri,2018,Sangameshwar,7
Ratnagiri,2018,Lanja,0
Ratnagiri,2018,Rajapur,0
Ratnagiri,2019,Mandangad,
Ratnagiri,2019,Dapoli,
Ratnagiri,2019,Khed,
Ratnagiri,2019,Chiplun,
Ratnagiri,2019,Guhagar,
Ratnagiri,2019,Ratnagiri,
Ratnagiri,2019,Sangameshwar,
Ratnagiri,2019,Lanja,
Ratnagiri,2019,Rajapur,
Ratnagiri,2020,Mandangad,
Ratnagiri,2020,Dapoli,
Ratnagiri,2020,Khed,
Ratnagiri,2020,Chiplun,
Ratnagiri,2020,Guhagar,
Ratnagiri,2020,Ratnagiri,
Ratnagiri,2020,Sangameshwar,
Ratnagiri,2020,Lanja,
Ratnagiri,2020,Rajapur,
Ratnagiri,2021,Mandangad,
Ratnagiri,2021,Dapoli,
Ratnagiri,2021,Khed,
Ratnagiri,2021,Chiplun,
Ratnagiri,2021,Guhagar,
Ratnagiri,2021,Ratnagiri,
Ratnagiri,2021,Sangameshwar,
Ratnagiri,2021,Lanja,
Ratnagiri,2021,Rajapur,
Sangli,2018,Shirala,1078
Sangli,2018,Valava,4547
Sangli,2018,Palus,707
Sangli,2018,Kadegaon,1042
Sangli,2018,Khanapur,1521
Sangli,2018,Aatpadi,421
Sangli,2018,Tasgaon,2180
Sangli,2018,Miraj,6572
Sangli,2018,Ku. Mahakal,413
Sangli,2018,Jat,913
Sangli,2019,Shirala,2175
Sangli,2019,Valava,7825
Sangli,2019,Palus,5962
Sangli,2019,Kadegaon,1928
Sangli,2019,Khanapur,2052
Sangli,2019,Aatpadi,410
Sangli,2019,Tasgaon,2282
Sangli,2019,Miraj,13437
Sangli,2019,Ku. Mahakal,586
Sangli,2019,Jat,537
Sangli,2020,Shirala,2185
Sangli,2020,Valava,7825
Sangli,2020,Palus,5962
Sangli,2020,Kadegaon,1928
Sangli,2020,Khanapur,2052
Sangli,2020,Aatpadi,410
Sangli,2020,Tasgaon,2282
Sangli,2020,Miraj,13437
Sangli,2020,Ku. Mahakal,586
Sangli,2020,Jat,537
Sangli,2021,Shirala,2385
Sangli,2021,Valava,8135
Sangli,2021,Palus,6252
Sangli,2021,Kadegaon,2128
Sangli,2021,Khanapur,2352
Sangli,2021,Aatpadi,500
Sangli,2021,Tasgaon,2595
Sangli,2021,Miraj,14137
Sangli,2021,Ku. Mahakal,786
Sangli,2021,Jat,837
Satara,2018,Mahableshwar,213
Satara,2018,Vai,603
Satara,2018,Khandala,279
Satara,2018,Faltan,793
Satara,2018,Man,194
Satara,2018,Khatav,229
Satara,2018,Koregaon,371
Satara,2018,Satara,2489
Satara,2018,Javali,158
Satara,2018,Patan,221
Satara,2018,Karad,930
Satara,2019,Mahableshwar,508
Satara,2019,Vai,703
Satara,2019,Khandala,457
Satara,2019,Faltan,1400
Satara,2019,Man,238
Satara,2019,Khatav,713
Satara,2019,Koregaon,685
Satara,2019,Satara,3882
Satara,2019,Javali,236
Satara,2019,Patan,466
Satara,2019,Karad,2469
Satara,2020,Mahableshwar,1165
Satara,2020,Vai,1252
Satara,2020,Khandala,2265
Satara,2020,Faltan,6854
Satara,2020,Man,1254
Satara,2020,Khatav,1852
Satara,2020,Koregaon,2856
Satara,2020,Satara,5452
Satara,2020,Javali,1145
Satara,2020,Patan,1056
Satara,2020,Karad,1996
Satara,2021,Mahableshwar,1198
Satara,2021,Vai,1265
Satara,2021,Khandala,2298
Satara,2021,Faltan,6952
Satara,2021,Man,1285
Satara,2021,Khatav,1865
Satara,2021,Koregaon,2867
Satara,2021,Satara,5485
Satara,2021,Javali,1184
Satara,2021,Patan,1098
Satara,2021,Karad,2011
Sindhudurg,2018,Devgad,224
Sindhudurg,2018,Vaibhavwadi,32
Sindhudurg,2018,Kankavali,229
Sindhudurg,2018,Malvan,359
Sindhudurg,2018,Vengurla,451
Sindhudurg,2018,Kudal,224
Sindhudurg,2018,Sawantwadi,300
Sindhudurg,2018,Dodamarg,49
Sindhudurg,2019,Devgad,270
Sindhudurg,2019,Vaibhavwadi,37
Sindhudurg,2019,Kankawali,350
Sindhudurg,2019,Malwan,293
Sindhudurg,2019,Vengurla,588
Sindhudurg,2019,Kudal,325
Sindhudurg,2019,Savantwadi,383
Sindhudurg,2019,Dodamarg,49
Sindhudurg,2020,Devgad,
Sindhudurg,2020,Vaibhavwadi,
Sindhudurg,2020,Kankawali,
Sindhudurg,2020,Malwan,
Sindhudurg,2020,Vengurla,
Sindhudurg,2020,Kudal,
Sindhudurg,2020,Savantwadi,
Sindhudurg,2020,Dodamarg,
Sindhudurg,2021,Devgad,
Sindhudurg,2021,Vaibhavwadi,
Sindhudurg,2021,Kankawali,
Sindhudurg,2021,Malwan,
Sindhudurg,2021,Vengurla,
Sindhudurg,2021,Kudal,
Sindhudurg,2021,Savantwadi,
Sindhudurg,2021,Dodamarg,
Thane,2018,Thane,111574
Thane,2018,Bhivandi,111574
Thane,2018,Shahapur,111574
Thane,2018,Kalyan,111574
Thane,2018,Ulhasnagar,111574
Thane,2018,Ambarnath,111574
Thane,2018,Murbad,111574
Thane,2019,Thane,203797
Thane,2019,Bhivandi,203797
Thane,2019,Shahapur,203797
Thane,2019,Kalyan,203797
Thane,2019,Ulhasnagar,203797
Thane,2019,Ambarnath,203797
Thane,2019,Murbad,203797
Thane,2020,Thane,289392
Thane,2020,Bhivandi,289392
Thane,2020,Shahapur,289392
Thane,2020,Kalyan,289392
Thane,2020,Ulhasnagar,289392
Thane,2020,Ambarnath,289392
Thane,2020,Murbad,289392
Thane,2021,Thane,190013
Thane,2021,Bhivandi,190013
Thane,2021,Shahapur,190013
Thane,2021,Kalyan,190013
Thane,2021,Ulhasnagar,190013
Thane,2021,Ambarnath,190013
Thane,2021,Murbad,190013
Wardha,2018,Ashti,108
Wardha,2018,Karanja,122
Wardha,2018,Aarvi,134
Wardha,2018,Selu,343
Wardha,2018,Wardha,1533
Wardha,2018,Devali,542
Wardha,2018,Hinganghat,445
Wardha,2018,Samudrapur,117
Wardha,2019,Ashti,303
Wardha,2019,Karanja,208
Wardha,2019,Aarvi,296
Wardha,2019,Selu,470
Wardha,2019,Wardha,2522
Wardha,2019,Devali,775
Wardha,2019,Hinganghat,649
Wardha,2019,Samudrapur,298
Wardha,2020,Ashti,321
Wardha,2020,Karanja,220
Wardha,2020,Aarvi,312
Wardha,2020,Selu,501
Wardha,2020,Wardha,3096
Wardha,2020,Devali,793
Wardha,2020,Hinganghat,673
Wardha,2020,Samudrapur,314
Wardha,2021,Ashti,242
Wardha,2021,Karanja,353
Wardha,2021,Aarvi,643
Wardha,2021,Selu,481
Wardha,2021,Wardha,3907
Wardha,2021,Devali,845
Wardha,2021,Hinganghat,1107
Wardha,2021,Samudrapur,540
Washim,2018,Malegaon,
Washim,2018,Mangrulpir,
Washim,2018,Karanja,
Washim,2018,Manora,
Washim,2018,Washim,
Washim,2018,Resod,
Washim,2019,Malegaon,19
Washim,2019,Mangrulpir,24
Washim,2019,Karanja,39
Washim,2019,Manora,1
Washim,2019,Washim,64
Washim,2019,Resod,53
Washim,2020,Malegaon,19
Washim,2020,Mangrulpir,24
Washim,2020,Karanja,39
Washim,2020,Manora,1
Washim,2020,Washim,64
Washim,2020,Resod,53
Washim,2021,Malegaon,29
Washim,2021,Mangrulpir,35
Washim,2021,Karanja,51
Washim,2021,Manora,6
Washim,2021,Washim,83
Washim,2021,Resod,66
Yavatmal,2018,Ner,107
Yavatmal,2018,Babhulgaon,19
Yavatmal,2018,Kalamb,78
Yavatmal,2018,Yavatmal,481
Yavatmal,2018,Darvha,153
Yavatmal,2018,Digras,171
Yavatmal,2018,Pusad,258
Yavatmal,2018,Umarkhed,51
Yavatmal,2018,Mahagaon,65
Yavatmal,2018,Aarni,47
Yavatmal,2018,Ghantaji,57
Yavatmal,2018,Kelapur,213
Yavatmal,2018,Ralegaon,53
Yavatmal,2018,Maregaon,31
Yavatmal,2018,Zari Jamani,15
Yavatmal,2018,Vani,387
Yavatmal,2019,Ner,117
Yavatmal,2019,Babhulgaon,21
Yavatmal,2019,Kalamb,85
Yavatmal,2019,Yavatmal,593
Yavatmal,2019,Darvha,153
Yavatmal,2019,Digras,171
Yavatmal,2019,Pusad,258
Yavatmal,2019,Umarkhed,51
Yavatmal,2019,Mahagaon,71
Yavatmal,2019,Aarni,47
Yavatmal,2019,Ghantaji,57
Yavatmal,2019,Kelapur,317
Yavatmal,2019,Ralegaon,53
Yavatmal,2019,Maregaon,31
Yavatmal,2019,Zari Jamani,15
Yavatmal,2019,Vani,409
Yavatmal,2020,Ner,121
Yavatmal,2020,Babhulgaon,23
Yavatmal,2020,Kalamb,96
Yavatmal,2020,Yavatmal,739
Yavatmal,2020,Darvha,167
Yavatmal,2020,Digras,186
Yavatmal,2020,Pusad,269
Yavatmal,2020,Umarkhed,53
Yavatmal,2020,Mahagaon,79
Yavatmal,2020,Aarni,53
Yavatmal,2020,Ghantaji,61
Yavatmal,2020,Kelapur,329
Yavatmal,2020,Ralegaon,61
Yavatmal,2020,Maregaon,35
Yavatmal,2020,Zari Jamani,21
Yavatmal,2020,Vani,437
Yavatmal,2021,Ner,121
Yavatmal,2021,Babhulgaon,23
Yavatmal,2021,Kalamb,96
Yavatmal,2021,Yavatmal,893
Yavatmal,2021,Darvha,167
Yavatmal,2021,Digras,186
Yavatmal,2021,Pusad,269
Yavatmal,2021,Umarkhed,53
Yavatmal,2021,Mahagaon,79
Yavatmal,2021,Aarni,68
Yavatmal,2021,Ghantaji,108
Yavatmal,2021,Kelapur,409
Yavatmal,2021,Ralegaon,61
Yavatmal,2021,Maregaon,35
Yavatmal,2021,Zari Jamani,21
Yavatmal,2021,Vani,581
