District,Year,Taluka,Shops,Business Organizations,Hotels and Restaurants,Cinema Halls,Organizations without Workers
Buldhana,2017,Buldhana,,,,,
Buldhana,2017,Deulgaon Raja,163,42,9,2,
Buldhana,2017,Sindkhed Raja,,,,,
Buldhana,2017,Lonar,,,,,
Buldhana,2018,Jalgaon Jamod,461,60,14,0,724
Buldhana,2018,Sangrampur,124,32,1,1,428
Buldhana,2018,Shegaon,489,101,62,0,798
Buldhana,2018,Nandura,462,90,14,0,648
Buldhana,2018,Malkapur,922,148,27,0,967
Buldhana,2018,Motala,54,33,12,0,317
Buldhana,2018,Khamgaon,521,178,31,0,868
Buldhana,2018,Mehkar,192,64,27,6,678
Buldhana,2018,Chikhali,379,117,14,0,724
Buldhana,2018,Buldhana,410,128,28,1,853
Buldhana,2018,Deulgaon Raja,178,48,12,4,495
Buldhana,2018,Sindkhed Raja,48,65,8,2,328
Buldhana,2018,Lonar,71,14,31,1,276
Buldhana,2019,Jalgaon Jamod,478,64,16,0,724
Buldhana,2019,Sangrampur,136,46,6,1,428
Buldhana,2019,Shegaon,504,166,68,0,937
Buldhana,2019,Nandura,471,92,18,0,798
Buldhana,2019,Malkapur,954,158,32,0,868
Buldhana,2019,Motala,62,36,15,0,724
Buldhana,2019,Khamgaon,546,182,39,0,853
Buldhana,2019,Mehkar,198,68,34,6,678
Buldhana,2019,Chikhali,404,122,18,0,495
Buldhana,2019,Buldhana,435,133,33,1,428
Buldhana,2019,Deulgaon Raja,196,56,18,4,317
Buldhana,2019,Sindkhed Raja,60,71,10,2,328
Buldhana,2019,Lonar,78,16,36,1,276
Buldhana,2020,Jalgaon Jamod,478,64,16,0,809
Buldhana,2020,Sangrampur,136,46,6,1,513
Buldhana,2020,Shegaon,504,166,68,0,1152
Buldhana,2020,Nandura,471,92,18,0,981
Buldhana,2020,Malkapur,954,158,32,0,1031
Buldhana,2020,Motala,62,36,15,0,791
Buldhana,2020,Khamgaon,546,182,39,0,1321
Buldhana,2020,Mehkar,198,68,34,6,687
Buldhana,2020,Chikhali,404,122,18,0,604
Buldhana,2020,Buldhana,435,133,33,1,937
Buldhana,2020,Deulgaon Raja,196,56,18,4,396
Buldhana,2020,Sindkhed Raja,60,71,10,2,382
Buldhana,2020,Lonar,78,16,36,1,313
Buldhana,2021,Jalgaon Jamod,484,66,19,0,891
Buldhana,2021,Sangrampur,139,46,6,1,521
Buldhana,2021,Shegaon,516,171,71,0,1197
Buldhana,2021,Nandura,491,103,23,0,1021
Buldhana,2021,Malkapur,967,169,35,0,1129
Buldhana,2021,Motala,63,37,16,0,801
Buldhana,2021,Khamgaon,549,187,43,0,1415
Buldhana,2021,Mehkar,202,103,35,1,703
Buldhana,2021,Chikhali,472,156,21,0,702
Buldhana,2021,Buldhana,535,231,71,1,1054
Buldhana,2021,Deulgaon Raja,201,58,19,1,417
Buldhana,2021,Sindkhed Raja,61,72,11,2,398
Buldhana,2021,Lonar,79,17,37,1,328
Chandrapur,2012,Varora,205,86,63,0,
Chandrapur,2012,Chimur,0,0,0,0,
Chandrapur,2012,Nagbhid,0,0,0,0,
Chandrapur,2012,Bramhapuri,124,71,38,1,
Chandrapur,2012,Savali,0,0,0,0,
Chandrapur,2012,Sindevahi,0,0,0,0,
Chandrapur,2012,Bhadravati,0,0,0,0,
Chandrapur,2012,Chandrapur,6060,5108,256,6,
Chandrapur,2012,Mul,111,49,28,0,
Chandrapur,2012,Ponbhurna,0,0,0,0,
Chandrapur,2012,Ballarpur,661,469,129,1,
Chandrapur,2012,Korpana,0,0,0,0,
Chandrapur,2012,Rajura,0,0,0,0,
Chandrapur,2012,Gondpipari,0,0,0,0,
Chandrapur,2012,Jivati,0,0,0,0,
Chandrapur,2013,Varora,221,110,69,3,
Chandrapur,2013,Chimur,0,0,0,0,
Chandrapur,2013,Nagbhid,0,0,0,0,
Chandrapur,2013,Bramhapuri,130,81,44,1,
Chandrapur,2013,Savali,0,0,0,0,
Chandrapur,2013,Sindevahi,0,0,0,0,
Chandrapur,2013,Bhadravati,0,0,0,0,
Chandrapur,2013,Chandrapur,6235,5258,306,6,
Chandrapur,2013,Mul,116,58,30,1,
Chandrapur,2013,Ponbhurna,0,0,0,0,
Chandrapur,2013,Ballarpur,474,326,70,1,
Chandrapur,2013,Korpana,0,0,0,0,
Chandrapur,2013,Rajura,0,0,0,0,
Chandrapur,2013,Gondpipari,0,0,0,0,
Chandrapur,2013,Jivati,0,0,0,0,
Chandrapur,2014,Varora,1369,357,137,3,
Chandrapur,2014,Chimur,0,0,0,0,
Chandrapur,2014,Nagbhid,0,0,0,0,
Chandrapur,2014,Bramhapuri,773,285,106,1,
Chandrapur,2014,Savali,0,0,0,0,
Chandrapur,2014,Sindevahi,0,0,0,0,
Chandrapur,2014,Bhadravati,0,0,0,0,
Chandrapur,2014,Chandrapur,15196,8014,385,6,
Chandrapur,2014,Mul,502,187,72,1,
Chandrapur,2014,Ponbhurna,0,0,0,0,
Chandrapur,2014,Ballarpur,2298,846,123,1,
Chandrapur,2014,Korpana,0,0,0,0,
Chandrapur,2014,Rajura,0,0,0,0,
Chandrapur,2014,Gondpipari,0,0,0,0,
Chandrapur,2014,Jivati,0,0,0,0,
Chandrapur,2015,Varora,1379,365,145,3,
Chandrapur,2015,Chimur,0,0,0,0,
Chandrapur,2015,Nagbhid,0,0,0,0,
Chandrapur,2015,Bramhapuri,779,292,109,1,
Chandrapur,2015,Savali,0,0,0,0,
Chandrapur,2015,Sindevahi,0,0,0,0,
Chandrapur,2015,Bhadravati,0,0,0,0,
Chandrapur,2015,Chandrapur,15205,8019,399,6,
Chandrapur,2015,Mul,520,190,71,1,
Chandrapur,2015,Ponbhurna,0,0,0,0,
Chandrapur,2015,Ballarpur,2320,870,126,1,
Chandrapur,2015,Korpana,0,0,0,0,
Chandrapur,2015,Rajura,0,0,0,0,
Chandrapur,2015,Gondpipari,0,0,0,0,
Chandrapur,2015,Jivati,0,0,0,0,
Chandrapur,2016,Varora,1637,504,147,0,
Chandrapur,2016,Chimur,0,0,0,0,
Chandrapur,2016,Nagbhid,0,0,0,0,
Chandrapur,2016,Bramhapuri,921,357,110,0,
Chandrapur,2016,Savali,0,0,0,0,
Chandrapur,2016,Sindevahi,0,0,0,0,
Chandrapur,2016,Bhadravati,0,0,0,0,
Chandrapur,2016,Chandrapur,15474,8480,455,5,
Chandrapur,2016,Mul,471,209,73,0,
Chandrapur,2016,Ponbhurna,0,0,0,0,
Chandrapur,2016,Ballarpur,2391,877,156,0,
Chandrapur,2016,Korpana,0,0,0,0,
Chandrapur,2016,Rajura,0,0,0,0,
Chandrapur,2016,Gondpipari,0,0,0,0,
Chandrapur,2016,Jivati,0,0,0,0,
Chandrapur,2017,Varora,2028,609,195,0,
Chandrapur,2017,Chimur,0,0,0,0,
Chandrapur,2017,Nagbhid,0,0,0,0,
Chandrapur,2017,Bramhapuri,1178,429,125,0,
Chandrapur,2017,Savali,0,0,0,0,
Chandrapur,2017,Sindevahi,0,0,0,0,
Chandrapur,2017,Bhadravati,0,0,0,0,
Chandrapur,2017,Chandrapur,16891,9147,497,5,
Chandrapur,2017,Mul,683,263,79,0,
Chandrapur,2017,Ponbhurna,0,0,0,0,
Chandrapur,2017,Ballarpur,2702,1092,177,0,
Chandrapur,2017,Korpana,0,0,0,0,
Chandrapur,2017,Rajura,0,0,0,0,
Chandrapur,2017,Gondpipari,0,0,0,0,
Chandrapur,2017,Jivati,0,0,0,0,
Chandrapur,2018,Varora,233,148,34,0,391
Chandrapur,2018,Chimur,65,52,12,0,400
Chandrapur,2018,Nagbhid,84,25,10,0,190
Chandrapur,2018,Bramhapuri,90,30,12,0,600
Chandrapur,2018,Savali,55,15,9,0,80
Chandrapur,2018,Sindevahi,67,18,8,0,90
Chandrapur,2018,Bhadravati,90,35,25,0,180
Chandrapur,2018,Chandrapur,2801,1899,199,5,3948
Chandrapur,2018,Mul,141,120,67,0,900
Chandrapur,2018,Ponbhurna,122,86,24,0,180
Chandrapur,2018,Ballarpur,511,181,20,0,2012
Chandrapur,2018,Korpana,52,26,10,0,110
Chandrapur,2018,Rajura,78,45,15,0,540
Chandrapur,2018,Gondpipari,44,10,5,0,120
Chandrapur,2018,Jivati,38,8,4,0,70
Chandrapur,2019,Varora,392,387,38,0,540
Chandrapur,2019,Chimur,158,75,14,0,342
Chandrapur,2019,Nagbhid,114,28,11,0,330
Chandrapur,2019,Bramhapuri,429,40,15,0,295
Chandrapur,2019,Savali,95,15,10,0,266
Chandrapur,2019,Sindevahi,98,19,14,0,312
Chandrapur,2019,Bhadravati,204,36,29,0,360
Chandrapur,2019,Chandrapur,6380,2886,196,5,6976
Chandrapur,2019,Mul,580,122,68,0,765
Chandrapur,2019,Ponbhurna,123,88,25,0,215
Chandrapur,2019,Ballarpur,1294,463,50,0,1944
Chandrapur,2019,Korpana,53,27,10,0,130
Chandrapur,2019,Rajura,254,46,16,0,572
Chandrapur,2019,Gondpipari,70,16,6,0,120
Chandrapur,2019,Jivati,39,9,5,0,90
Chandrapur,2020,Varora,460,406,49,0,937
Chandrapur,2020,Chimur,220,89,16,0,376
Chandrapur,2020,Nagbhid,210,45,12,0,364
Chandrapur,2020,Bramhapuri,610,65,19,0,435
Chandrapur,2020,Savali,140,18,11,0,268
Chandrapur,2020,Sindevahi,155,16,16,0,315
Chandrapur,2020,Bhadravati,336,46,29,0,360
Chandrapur,2020,Chandrapur,9330,3129,227,5,8010
Chandrapur,2020,Mul,722,132,68,0,770
Chandrapur,2020,Ponbhurna,195,89,25,0,256
Chandrapur,2020,Ballarpur,1972,628,57,0,1978
Chandrapur,2020,Korpana,58,28,11,0,249
Chandrapur,2020,Rajura,335,47,16,0,589
Chandrapur,2020,Gondpipari,105,18,7,0,259
Chandrapur,2020,Jivati,48,9,7,0,146
Chandrapur,2021,Varora,510,450,60,1,1020
Chandrapur,2021,Chimur,252,95,20,0,465
Chandrapur,2021,Nagbhid,223,49,14,0,376
Chandrapur,2021,Bramhapuri,632,67,20,0,450
Chandrapur,2021,Savali,147,19,12,0,274
Chandrapur,2021,Sindevahi,165,17,17,0,325
Chandrapur,2021,Bhadravati,352,48,30,1,370
Chandrapur,2021,Chandrapur,10256,3207,252,5,8510
Chandrapur,2021,Mul,750,135,70,0,777
Chandrapur,2021,Ponbhurna,212,93,26,0,267
Chandrapur,2021,Ballarpur,2012,635,58,0,2081
Chandrapur,2021,Korpana,63,29,12,0,357
Chandrapur,2021,Rajura,355,48,17,0,621
Chandrapur,2021,Gondpipari,115,19,8,0,263
Chandrapur,2021,Jivati,53,10,8,0,153
Dhule,2012,Shirpur,449,289,117,7,
Dhule,2012,Shindkheda,329,259,87,4,
Dhule,2012,Sakri,0,0,0,0,
Dhule,2012,Dhule,2145,1890,641,9,
Dhule,2013,Shirpur,484,329,129,8,
Dhule,2013,Shindkheda,351,288,95,1,
Dhule,2013,Sakri,0,0,0,0,
Dhule,2013,Dhule,2374,2079,709,9,
Dhule,2014,Shirpur,485,330,129,8,
Dhule,2014,Shindkheda,376,302,104,1,
Dhule,2014,Sakri,0,0,0,0,
Dhule,2014,Dhule,2384,2090,730,9,
Dhule,2015,Shirpur,541,538,122,8,
Dhule,2015,Shindkheda,262,170,41,1,
Dhule,2015,Sakri,0,0,0,0,
Dhule,2015,Dhule,2434,2161,736,9,
Dhule,2016,Shirpur,1565,1336,244,8,
Dhule,2016,Shindkheda,983,567,49,1,
Dhule,2016,Sakri,0,0,0,0,
Dhule,2016,Dhule,17969,5965,1399,9,
Dhule,2017,Shirpur,693,571,170,2,
Dhule,2017,Shindkheda,411,199,46,1,
Dhule,2017,Sakri,0,0,0,0,
Dhule,2017,Dhule,3096,2553,828,9,
Dhule,2018,Shirpur,693,573,157,2,2388
Dhule,2018,Shindkheda,411,199,42,1,1536
Dhule,2018,Sakri,0,0,0,0,0
Dhule,2018,Dhule,3101,2556,791,9,23555
Dhule,2019,Shirpur,704,591,160,2,4413
Dhule,2019,Shindkheda,416,199,43,1,3396
Dhule,2019,Sakri,1,2,3,0,890
Dhule,2019,Dhule,3135,2579,795,9,33560
Dhule,2020,Shirpur,715,615,185,2,4545
Dhule,2020,Shindkheda,426,235,65,1,3464
Dhule,2020,Sakri,2,3,3,0,935
Dhule,2020,Dhule,3245,2605,810,9,36645
Dhule,2021,Shirpur,735,623,205,2,4698
Dhule,2021,Shindkheda,432,246,85,1,3688
Dhule,2021,Sakri,5,6,4,0,1022
Dhule,2021,Dhule,3485,2713,985,9,45322
Gadchiroli,2012,Desaiganj,558,98,52,0,
Gadchiroli,2012,Aarmori,582,82,46,0,
Gadchiroli,2012,Kurkheda,319,29,1,0,
Gadchiroli,2012,Korachi,179,1,14,0,
Gadchiroli,2012,Dhanora,140,0,16,0,
Gadchiroli,2012,Gadchiroli,1434,281,79,0,
Gadchiroli,2012,Chomoshi,680,21,67,0,
Gadchiroli,2012,Mulchera,87,0,21,0,
Gadchiroli,2012,Etapalli,92,0,27,0,
Gadchiroli,2012,Bhamragad,49,0,15,0,
Gadchiroli,2012,Aheri,447,2,54,0,
Gadchiroli,2012,Sironcha,156,0,27,0,
Gadchiroli,2013,Desaiganj,602,105,57,0,
Gadchiroli,2013,Aarmori,626,89,51,0,
Gadchiroli,2013,Kurkheda,363,36,2,0,
Gadchiroli,2013,Korachi,223,3,17,0,
Gadchiroli,2013,Dhanora,184,0,18,0,
Gadchiroli,2013,Gadchiroli,1478,340,101,0,
Gadchiroli,2013,Chomoshi,724,28,76,0,
Gadchiroli,2013,Mulchera,131,0,22,0,
Gadchiroli,2013,Etapalli,136,3,30,0,
Gadchiroli,2013,Bhamragad,90,1,17,0,
Gadchiroli,2013,Aheri,491,3,61,0,
Gadchiroli,2013,Sironcha,200,0,29,0,
Gadchiroli,2014,Desaiganj,1528,140,80,0,
Gadchiroli,2014,Aarmori,838,106,51,0,
Gadchiroli,2014,Kurkheda,353,36,29,0,
Gadchiroli,2014,Korachi,241,4,9,0,
Gadchiroli,2014,Dhanora,191,3,7,0,
Gadchiroli,2014,Gadchiroli,1669,431,83,1,
Gadchiroli,2014,Chomoshi,761,21,77,0,
Gadchiroli,2014,Mulchera,113,0,28,0,
Gadchiroli,2014,Etapalli,117,3,34,0,
Gadchiroli,2014,Bhamragad,59,1,26,0,
Gadchiroli,2014,Aheri,536,5,57,0,
Gadchiroli,2014,Sironcha,226,0,43,0,
Gadchiroli,2015,Desaiganj,1511,118,92,0,
Gadchiroli,2015,Aarmori,838,111,54,0,
Gadchiroli,2015,Kurkheda,313,7,31,0,
Gadchiroli,2015,Korachi,221,0,11,0,
Gadchiroli,2015,Dhanora,160,0,8,0,
Gadchiroli,2015,Gadchiroli,1656,233,101,1,
Gadchiroli,2015,Chomoshi,727,0,85,0,
Gadchiroli,2015,Mulchera,115,0,33,0,
Gadchiroli,2015,Etapalli,98,0,40,0,
Gadchiroli,2015,Bhamragad,54,0,37,0,
Gadchiroli,2015,Aheri,513,0,63,0,
Gadchiroli,2015,Sironcha,190,2,55,0,
Gadchiroli,2016,Desaiganj,1590,96,119,0,
Gadchiroli,2016,Aarmori,872,103,84,0,
Gadchiroli,2016,Kurkheda,319,0,41,0,
Gadchiroli,2016,Korachi,222,0,18,0,
Gadchiroli,2016,Dhanora,385,3,11,0,
Gadchiroli,2016,Gadchiroli,1784,228,147,1,
Gadchiroli,2016,Chomoshi,751,0,109,0,
Gadchiroli,2016,Mulchera,120,0,35,0,
Gadchiroli,2016,Etapalli,101,0,42,0,
Gadchiroli,2016,Bhamragad,61,0,38,0,
Gadchiroli,2016,Aheri,522,0,74,0,
Gadchiroli,2016,Sironcha,193,0,65,0,
Gadchiroli,2017,Desaiganj,471,217,25,0,
Gadchiroli,2017,Aarmori,770,148,15,0,
Gadchiroli,2017,Kurkheda,5,0,,0,
Gadchiroli,2017,Korachi,,0,,0,
Gadchiroli,2017,Dhanora,14,5,,0,
Gadchiroli,2017,Gadchiroli,1230,422,138,2,
Gadchiroli,2017,Chomoshi,13,2,,0,
Gadchiroli,2017,Mulchera,,0,,0,
Gadchiroli,2017,Etapalli,,0,,0,
Gadchiroli,2017,Bhamragad,,0,,0,
Gadchiroli,2017,Aheri,8,0,,0,
Gadchiroli,2017,Sironcha,,0,,0,
Gadchiroli,2018,Desaiganj,626,270,26,0,2123
Gadchiroli,2018,Aarmori,872,170,21,0,1283
Gadchiroli,2018,Kurkheda,40,18,,0,155
Gadchiroli,2018,Korachi,4,2,,0,14
Gadchiroli,2018,Dhanora,26,7,,0,36
Gadchiroli,2018,Gadchiroli,1413,551,145,2,4393
Gadchiroli,2018,Chomoshi,25,9,,0,70
Gadchiroli,2018,Mulchera,7,2,,0,18
Gadchiroli,2018,Etapalli,2,3,,0,16
Gadchiroli,2018,Bhamragad,0,3,,0,6
Gadchiroli,2018,Aheri,18,8,,0,96
Gadchiroli,2018,Sironcha,0,2,,0,4
Gadchiroli,2019,Desaiganj,592,36,14,0,285
Gadchiroli,2019,Aarmori,344,36,25,0,254
Gadchiroli,2019,Kurkheda,176,13,3,0,212
Gadchiroli,2019,Korachi,67,1,1,0,80
Gadchiroli,2019,Dhanora,80,10,10,0,110
Gadchiroli,2019,Gadchiroli,937,223,34,2,360
Gadchiroli,2019,Chomoshi,116,12,13,0,155
Gadchiroli,2019,Mulchera,43,5,1,0,32
Gadchiroli,2019,Etapalli,10,5,0,0,3
Gadchiroli,2019,Bhamragad,2,1,0,0,2
Gadchiroli,2019,Aheri,131,2,1,0,60
Gadchiroli,2019,Sironcha,0,3,0,0,1
Gadchiroli,2020,Desaiganj,787,216,31,0,359
Gadchiroli,2020,Aarmori,839,154,24,0,339
Gadchiroli,2020,Kurkheda,394,68,3,0,154
Gadchiroli,2020,Korachi,165,31,2,0,80
Gadchiroli,2020,Dhanora,89,40,1,0,129
Gadchiroli,2020,Gadchiroli,1122,608,57,2,561
Gadchiroli,2020,Chomoshi,271,38,4,0,174
Gadchiroli,2020,Mulchera,100,19,4,0,8
Gadchiroli,2020,Etapalli,126,12,0,0,8
Gadchiroli,2020,Bhamragad,100,5,1,0,3
Gadchiroli,2020,Aheri,182,39,1,0,12
Gadchiroli,2020,Sironcha,313,24,9,0,1
Gadchiroli,2021,Desaiganj,1243,381,51,0,429
Gadchiroli,2021,Aarmori,999,244,31,0,387
Gadchiroli,2021,Kurkheda,592,122,8,0,155
Gadchiroli,2021,Korachi,175,35,2,0,81
Gadchiroli,2021,Dhanora,197,58,11,0,138
Gadchiroli,2021,Gadchiroli,1546,923,84,2,589
Gadchiroli,2021,Chomoshi,684,96,13,0,182
Gadchiroli,2021,Mulchera,142,28,5,0,8
Gadchiroli,2021,Etapalli,154,8,3,0,8
Gadchiroli,2021,Bhamragad,109,12,1,0,4
Gadchiroli,2021,Aheri,219,49,1,0,14
Gadchiroli,2021,Sironcha,336,32,10,0,2
Gondia,2012,Tiroda,545,85,26,1,
Gondia,2012,Goregaon,395,39,24,0,
Gondia,2012,Gondia,5941,741,187,2,
Gondia,2012,Aamgaon,1205,127,36,1,
Gondia,2012,Salekasa,301,26,11,0,
Gondia,2012,Sadak Arjuni,213,12,7,0,
Gondia,2012,Arjuni Morgaon,429,16,22,0,
Gondia,2012,Devari,281,35,26,0,
Gondia,2013,Tiroda,575,110,33,1,
Gondia,2013,Goregaon,403,41,25,0,
Gondia,2013,Gondia,6105,816,202,2,
Gondia,2013,Aamgaon,1212,128,38,1,
Gondia,2013,Salekasa,304,27,11,0,
Gondia,2013,Sadak Arjuni,217,13,7,0,
Gondia,2013,Arjuni Morgaon,434,17,22,0,
Gondia,2013,Devari,284,37,26,0,
Gondia,2014,Tiroda,625,140,53,1,
Gondia,2014,Goregaon,,,,,
Gondia,2014,Gondia,6211,936,232,2,
Gondia,2014,Aamgaon,,,,,
Gondia,2014,Salekasa,,,,,
Gondia,2014,Sadak Arjuni,,,,,
Gondia,2014,Arjuni Morgaon,,,,,
Gondia,2014,Devari,,,,,
Gondia,2015,Tiroda,646,151,58,1,
Gondia,2015,Goregaon,,,,,
Gondia,2015,Gondia,6529,1097,249,3,
Gondia,2015,Aamgaon,,,,,
Gondia,2015,Salekasa,,,,,
Gondia,2015,Sadak Arjuni,,,,,
Gondia,2015,Arjuni Morgaon,,,,,
Gondia,2015,Devari,,,,,
Gondia,2016,Tiroda,670,158,60,1,
Gondia,2016,Goregaon,,,,,
Gondia,2016,Gondia,6586,1177,251,3,
Gondia,2016,Aamgaon,,,,,
Gondia,2016,Salekasa,,,,,
Gondia,2016,Sadak Arjuni,,,,,
Gondia,2016,Arjuni Morgaon,,,,,
Gondia,2016,Devari,,,,,
Gondia,2017,Tiroda,860,240,72,1,
Gondia,2017,Goregaon,,,,,
Gondia,2017,Gondia,7338,2429,560,3,
Gondia,2017,Aamgaon,,,,,
Gondia,2017,Salekasa,,,,,
Gondia,2017,Sadak Arjuni,,,,,
Gondia,2017,Arjuni Morgaon,,,,,
Gondia,2017,Devari,,,,,
Gondia,2018,Tiroda,879,244,72,1,75
Gondia,2018,Goregaon,147,30,2,0,9
Gondia,2018,Gondia,6842,2302,559,3,489
Gondia,2018,Aamgaon,122,40,2,0,3
Gondia,2018,Salekasa,98,12,1,0,0
Gondia,2018,Sadak Arjuni,82,15,1,0,8
Gondia,2018,Arjuni Morgaon,78,17,2,0,6
Gondia,2018,Devari,90,19,0,0,2
Gondia,2019,Tiroda,1032,330,75,1,75
Gondia,2019,Goregaon,432,41,24,0,27
Gondia,2019,Gondia,7459,2887,654,3,489
Gondia,2019,Aamgaon,1205,127,36,1,55
Gondia,2019,Salekasa,301,26,11,0,35
Gondia,2019,Sadak Arjuni,213,24,17,0,45
Gondia,2019,Arjuni Morgaon,429,20,22,0,23
Gondia,2019,Devari,281,35,26,1,35
Gondia,2020,Tiroda,1032,330,75,1,79
Gondia,2020,Goregaon,432,41,24,0,27
Gondia,2020,Gondia,7469,2898,654,3,499
Gondia,2020,Aamgaon,1205,127,36,1,55
Gondia,2020,Salekasa,301,26,11,0,35
Gondia,2020,Sadak Arjuni,213,24,17,0,45
Gondia,2020,Arjuni Morgaon,429,20,22,0,23
Gondia,2020,Devari,281,35,26,1,35
Gondia,2021,Tiroda,1087,361,84,1,89
Gondia,2021,Goregaon,449,41,24,0,27
Gondia,2021,Gondia,7489,2908,672,4,827
Gondia,2021,Aamgaon,1205,127,36,1,55
Gondia,2021,Salekasa,301,26,11,0,35
Gondia,2021,Sadak Arjuni,238,24,17,0,68
Gondia,2021,Arjuni Morgaon,429,20,22,0,45
Gondia,2021,Devari,281,35,26,0,35
Hingoli,2012,Sengaon,,,,,
Hingoli,2012,Hingoli,2620,894,228,1,
Hingoli,2012,Aundha Na,,,,,
Hingoli,2012,Kalamanuri,635,219,125,1,
Hingoli,2012,Vasamat,2083,621,206,1,
Hingoli,2013,Sengaon,,,,,
Hingoli,2013,Hingoli,,,,,
Hingoli,2013,Aundha Na,,,,,
Hingoli,2013,Kalamanuri,,,,,
Hingoli,2013,Vasamat,,,,,
Hingoli,2014,Sengaon,,,,,
Hingoli,2014,Hingoli,2845,1048,249,0,
Hingoli,2014,Aundha Na,,,,,
Hingoli,2014,Kalamanuri,733,255,138,1,
Hingoli,2014,Vasamat,2333,708,221,1,
Hingoli,2015,Sengaon,,,,,
Hingoli,2015,Hingoli,3027,1151,268,1,
Hingoli,2015,Aundha Na,,,,,
Hingoli,2015,Kalamanuri,753,260,136,1,
Hingoli,2015,Vasamat,2500,803,229,1,
Hingoli,2016,Sengaon,,,,,
Hingoli,2016,Hingoli,,,,,
Hingoli,2016,Aundha Na,,,,,
Hingoli,2016,Kalamanuri,,,,,
Hingoli,2016,Vasamat,,,,,
Hingoli,2017,Sengaon,,,,,
Hingoli,2017,Hingoli,4617,1449,326,2,
Hingoli,2017,Aundha Na,,,,,
Hingoli,2017,Kalamanuri,1128,293,156,0,
Hingoli,2017,Vasamat,3840,957,268,1,
Hingoli,2018,Sengaon,,,,,
Hingoli,2018,Hingoli,3903,142,177,2,
Hingoli,2018,Aundha Na,,,,,
Hingoli,2018,Kalamanuri,992,64,60,0,
Hingoli,2018,Vasamat,1812,98,88,1,
Hingoli,2019,Sengaon,,,,,
Hingoli,2019,Hingoli,7884,244,236,1,
Hingoli,2019,Aundha Na,,,,,
Hingoli,2019,Kalamanuri,1958,177,97,2,
Hingoli,2019,Vasamat,3579,276,141,1,
Hingoli,2020,Sengaon,,,,,
Hingoli,2020,Hingoli,9224,346,346,1,
Hingoli,2020,Aundha Na,,,,,
Hingoli,2020,Kalamanuri,2329,202,102,2,
Hingoli,2020,Vasamat,4435,348,205,1,
Hingoli,2021,Sengaon,400,138,55,0,38
Hingoli,2021,Hingoli,10381,910,674,1,218
Hingoli,2021,Aundha Na,403,94,180,0,90
Hingoli,2021,Kalamanuri,2954,511,221,0,45
Hingoli,2021,Vasamat,5390,766,414,1,182
Jalna,2013,Bhokardan,0,0,0,0,
Jalna,2013,Jaffrabad,700,153,74,1,
Jalna,2013,Jalna,13274,6420,1018,66,
Jalna,2013,Badnapur,0,0,0,0,
Jalna,2013,Ambad,1932,590,203,1,
Jalna,2013,Ghansawangi,0,0,0,0,
Jalna,2013,Partur,1714,415,199,3,
Jalna,2013,Mantha,0,0,0,0,
Jalna,2014,Bhokardan,0,0,0,0,
Jalna,2014,Jaffrabad,743,221,97,1,
Jalna,2014,Jalna,15159,7127,1161,66,
Jalna,2014,Badnapur,0,0,0,0,
Jalna,2014,Ambad,2185,722,217,1,
Jalna,2014,Ghansawangi,0,0,0,0,
Jalna,2014,Partur,1900,540,215,3,
Jalna,2014,Mantha,0,0,0,0,
Jalna,2015,Bhokardan,0,0,0,0,
Jalna,2015,Jaffrabad,743,221,97,1,
Jalna,2015,Jalna,15159,7127,1161,66,
Jalna,2015,Badnapur,0,0,0,0,
Jalna,2015,Ambad,2185,722,217,1,
Jalna,2015,Ghansawangi,0,0,0,0,
Jalna,2015,Partur,1900,540,215,3,
Jalna,2015,Mantha,0,0,0,0,
Jalna,2016,Bhokardan,,,,,
Jalna,2016,Jaffrabad,,,,,
Jalna,2016,Jalna,,,,,
Jalna,2016,Badnapur,,,,,
Jalna,2016,Ambad,,,,,
Jalna,2016,Ghansawangi,,,,,
Jalna,2016,Partur,,,,,
Jalna,2016,Mantha,,,,,
Jalna,2017,Bhokardan,0,0,0,0,
Jalna,2017,Jaffrabad,911,260,64,1,
Jalna,2017,Jalna,18625,8270,1282,68,
Jalna,2017,Badnapur,0,0,0,0,
Jalna,2017,Ambad,2931,830,229,1,
Jalna,2017,Ghansawangi,0,0,0,0,
Jalna,2017,Partur,2502,598,221,3,
Jalna,2017,Mantha,0,0,0,0,
Jalna,2018,Bhokardan,,,,,
Jalna,2018,Jaffrabad,,,,,
Jalna,2018,Jalna,,,,,
Jalna,2018,Badnapur,,,,,
Jalna,2018,Ambad,,,,,
Jalna,2018,Ghansawangi,,,,,
Jalna,2018,Partur,,,,,
Jalna,2018,Mantha,,,,,
Jalna,2019,Bhokardan,,,,,
Jalna,2019,Jaffrabad,505,140,91,1,2528
Jalna,2019,Jalna,7086,4080,1387,4,30294
Jalna,2019,Badnapur,,,,,
Jalna,2019,Ambad,856,301,140,1,5346
Jalna,2019,Ghansawangi,,,,,
Jalna,2019,Partur,664,265,207,3,4494
Jalna,2019,Mantha,,,,,
Jalna,2020,Bhokardan,,,,,
Jalna,2020,Jaffrabad,888,316,87,1,3578
Jalna,2020,Jalna,6069,4006,1105,4,30178
Jalna,2020,Badnapur,,,,,
Jalna,2020,Ambad,1644,471,169,1,6226
Jalna,2020,Ghansawangi,,,,,
Jalna,2020,Partur,1258,496,196,3,5054
Jalna,2020,Mantha,,,,,
Jalna,2021,Bhokardan,,,,,
