Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,GDVA,Taxes on products,"Less subsidies on
products",GDDP,Population ('000),Per capita District Domestic Product
2014,Buldhana,14500000000,3930000000,2210000000,360000000,21010000000,580000000,21590000000,30830000000,3100000000,8700000000,42620000000,43200000000,11910000000,730000000,5260000000,110000000,2080000000,15590000000,26040000000,4190000000,8940000000,74840000000,139040000000,20180000000,3230000000,155990000000,2665,58535
2015,Buldhana,14540000000,5610000000,2190000000,340000000,22680000000,1020000000,23700000000,34070000000,3230000000,8840000000,46140000000,47160000000,11930000000,780000000,5850000000,110000000,2460000000,16500000000,28380000000,4390000000,9770000000,80170000000,150020000000,21820000000,2720000000,169120000000,2687,62949
2016,Buldhana,30880000000,4910000000,2310000000,350000000,38440000000,3650000000,42090000000,35510000000,3250000000,9100000000,47860000000,51510000000,13080000000,860000000,6210000000,100000000,2320000000,16990000000,30290000000,4600000000,10600000000,85060000000,175020000000,25450000000,2590000000,197890000000,2706,73116
2017,Buldhana,19330000000,5530000000,2530000000,200000000,27590000000,2880000000,30470000000,38670000000,3620000000,9340000000,51630000000,54510000000,14230000000,1000000000,6790000000,110000000,2210000000,17560000000,32150000000,4930000000,11550000000,90540000000,172640000000,25600000000,2270000000,195970000000,2725,71918
2018,Buldhana,23350000000,5390000000,2750000000,270000000,31760000000,1420000000,33180000000,41280000000,3950000000,9590000000,54830000000,56250000000,15600000000,990000000,7400000000,120000000,2320000000,18600000000,35370000000,5160000000,12650000000,98200000000,186210000000,28640000000,2450000000,212390000000,2743,77420
2019,Buldhana,28220000000,5500000000,2670000000,140000000,36530000000,1160000000,37700000000,40600000000,4150000000,9690000000,54440000000,55600000000,16470000000,1030000000,7910000000,120000000,2600000000,19260000000,38280000000,6070000000,13950000000,105680000000,197820000000,30110000000,2750000000,225180000000,2762,81542
2011,Chandrapur,13940000000,2850000000,6910000000,960000000,24670000000,22190000000,46850000000,32150000000,3500000000,10530000000,46180000000,68360000000,13800000000,780000000,5450000000,120000000,2080000000,15400000000,24940000000,5110000000,8710000000,76380000000,169400000000,23990000000,3870000000,189530000000,2217,85475
2012,Chandrapur,18660000000,3120000000,6930000000,920000000,29630000000,23320000000,52950000000,34940000000,3700000000,10180000000,48820000000,72130000000,15340000000,820000000,6020000000,120000000,2190000000,16720000000,27170000000,5230000000,9530000000,83130000000,184900000000,26940000000,4960000000,206880000000,2240,92367
2013,Chandrapur,14910000000,3530000000,6070000000,660000000,25170000000,22630000000,47790000000,38650000000,3560000000,10620000000,52830000000,75460000000,15200000000,850000000,6280000000,130000000,2480000000,19060000000,30450000000,5380000000,10540000000,90370000000,190990000000,27460000000,4780000000,213670000000,2262,94460
2014,Chandrapur,12450000000,2860000000,7000000000,780000000,23090000000,28140000000,51230000000,39670000000,3980000000,11190000000,54850000000,82980000000,15330000000,930000000,6770000000,140000000,2670000000,20060000000,33510000000,5390000000,11500000000,96300000000,202380000000,29080000000,4650000000,226810000000,2284,99290
2015,Chandrapur,15860000000,3010000000,8080000000,780000000,27730000000,32230000000,59960000000,43370000000,4120000000,11260000000,58740000000,90970000000,15190000000,990000000,7450000000,130000000,3130000000,21010000000,36130000000,5590000000,12440000000,102060000000,220750000000,31860000000,3960000000,248650000000,2307,107801
2016,Chandrapur,20930000000,2730000000,8870000000,1840000000,34370000000,25630000000,60000000000,48600000000,4450000000,12450000000,65490000000,91120000000,17890000000,1180000000,8500000000,140000000,3180000000,23250000000,41450000000,6300000000,14510000000,116390000000,241890000000,34860000000,3540000000,273210000000,2327,117395
2017,Chandrapur,12540000000,4300000000,12640000000,920000000,30400000000,27670000000,58070000000,51950000000,4870000000,12540000000,69360000000,97030000000,19120000000,1340000000,9120000000,150000000,2960000000,23590000000,43200000000,6630000000,15520000000,121630000000,249060000000,36840000000,3260000000,282630000000,2347,120430
2018,Chandrapur,16470000000,3540000000,18280000000,730000000,39020000000,25410000000,64420000000,56010000000,5370000000,13020000000,74390000000,99800000000,21160000000,1350000000,10040000000,160000000,3140000000,25240000000,47980000000,7000000000,17160000000,133240000000,272050000000,41690000000,3570000000,310170000000,2366,131069
2019,Chandrapur,16490000000,3640000000,17470000000,820000000,38410000000,17360000000,55770000000,57290000000,5860000000,13670000000,76820000000,94180000000,23230000000,1450000000,11160000000,170000000,3670000000,27170000000,54020000000,8570000000,19680000000,149130000000,281720000000,42760000000,3900000000,320580000000,2386,134360
2011,Dhule,26530000000,4770000000,1980000000,140000000,33430000000,3880000000,37310000000,28420000000,3100000000,9300000000,40820000000,44700000000,12200000000,690000000,4820000000,110000000,1840000000,13610000000,22050000000,4510000000,7700000000,67510000000,145640000000,20630000000,3330000000,162940000000,2062,79022
2012,Dhule,26500000000,4970000000,1980000000,130000000,33580000000,2460000000,36040000000,30930000000,3270000000,9010000000,43210000000,45670000000,13570000000,720000000,5330000000,110000000,1940000000,14800000000,24050000000,4630000000,8440000000,73580000000,152830000000,22430000000,4130000000,171130000000,2081,82233
2013,Dhule,31790000000,4760000000,1920000000,140000000,38620000000,650000000,39260000000,34160000000,3140000000,9390000000,46690000000,47340000000,13430000000,750000000,5550000000,120000000,2190000000,16850000000,26910000000,4760000000,9310000000,79870000000,165830000000,24050000000,4190000000,185690000000,2100,88423
2014,Dhule,38360000000,2940000000,1900000000,150000000,43340000000,240000000,43580000000,36020000000,3620000000,10160000000,49800000000,50040000000,13920000000,850000000,6140000000,120000000,2430000000,18220000000,30420000000,4890000000,10440000000,87430000000,180810000000,26220000000,4190000000,202840000000,2119,95724
2015,Dhule,30300000000,3920000000,1880000000,150000000,36250000000,2260000000,38510000000,39330000000,3730000000,10210000000,53280000000,55540000000,13780000000,900000000,6760000000,120000000,2840000000,19050000000,32770000000,5070000000,11280000000,92570000000,184350000000,26830000000,3340000000,207840000000,2138,97222
2016,Dhule,30780000000,5500000000,2050000000,160000000,38500000000,5880000000,44380000000,40870000000,3750000000,10470000000,55080000000,60960000000,15050000000,990000000,7150000000,120000000,2670000000,19550000000,34860000000,5300000000,12200000000,97890000000,197340000000,28740000000,2920000000,223160000000,2155,103542
2017,Dhule,35770000000,6080000000,2060000000,170000000,44080000000,330000000,44410000000,45930000000,4300000000,11090000000,61320000000,61650000000,16900000000,1180000000,8060000000,130000000,2620000000,20860000000,38180000000,5860000000,13720000000,107520000000,213240000000,31570000000,2800000000,242010000000,2172,111444
2018,Dhule,25030000000,7110000000,2080000000,150000000,34370000000,320000000,34680000000,48440000000,4640000000,11260000000,64340000000,64660000000,18300000000,1170000000,8690000000,140000000,2720000000,21830000000,41500000000,6060000000,14840000000,115240000000,214270000000,32950000000,2820000000,244390000000,2188,111702
2019,Dhule,28830000000,7440000000,2050000000,170000000,38480000000,180000000,38670000000,47750000000,4880000000,11400000000,64040000000,64220000000,19370000000,1210000000,9300000000,140000000,3060000000,22650000000,45030000000,7140000000,16410000000,124310000000,227010000000,34450000000,3150000000,258320000000,2204,117200
2011,Gadchiroli,5370000000,2040000000,10790000000,350000000,18560000000,750000000,19310000000,10200000000,1110000000,3340000000,14660000000,15410000000,4380000000,250000000,1730000000,40000000,660000000,4890000000,7920000000,1620000000,2760000000,24240000000,58210000000,8240000000,1330000000,65130000000,1078,60440
2012,Gadchiroli,6660000000,2270000000,10450000000,350000000,19730000000,730000000,20450000000,10980000000,1160000000,3200000000,15330000000,16060000000,4820000000,260000000,1890000000,40000000,690000000,5250000000,8530000000,1640000000,2990000000,26110000000,61900000000,9080000000,1670000000,69300000000,1085,63848
2013,Gadchiroli,6280000000,1750000000,7320000000,220000000,15560000000,0,15570000000,12030000000,1110000000,3310000000,16450000000,16450000000,4730000000,260000000,1950000000,40000000,770000000,5930000000,9480000000,1680000000,3280000000,28140000000,60150000000,8780000000,1530000000,67400000000,1093,61651
2014,Gadchiroli,6600000000,1260000000,6070000000,250000000,14190000000,0,14190000000,12650000000,1270000000,3570000000,17480000000,17480000000,4890000000,300000000,2160000000,40000000,850000000,6400000000,10680000000,1720000000,3670000000,30700000000,62380000000,9100000000,1460000000,70020000000,1101,63600
2015,Gadchiroli,4440000000,1560000000,8280000000,250000000,14530000000,0,14530000000,13840000000,1310000000,3590000000,18750000000,18750000000,4850000000,320000000,2380000000,40000000,1000000000,6700000000,11530000000,1780000000,3970000000,32580000000,65850000000,9730000000,1210000000,74370000000,1109,67085
2016,Gadchiroli,5880000000,2550000000,4400000000,680000000,13520000000,0,13520000000,14200000000,1300000000,3640000000,19140000000,19140000000,5230000000,350000000,2480000000,40000000,930000000,6790000000,12110000000,1840000000,4240000000,34020000000,66680000000,10140000000,1030000000,75790000000,1116,67940
2017,Gadchiroli,3000000000,3210000000,10770000000,500000000,17480000000,0,17480000000,15740000000,1480000000,3800000000,21020000000,21020000000,5790000000,410000000,2760000000,40000000,900000000,7150000000,13090000000,2010000000,4700000000,36860000000,75350000000,11430000000,1010000000,85770000000,1122,76458
2018,Gadchiroli,5100000000,3050000000,5140000000,300000000,13590000000,0,13590000000,17120000000,1640000000,3980000000,22740000000,22740000000,6470000000,410000000,3070000000,50000000,960000000,7720000000,14670000000,2140000000,5250000000,40730000000,77070000000,11860000000,1020000000,87920000000,1128,77938
2019,Gadchiroli,6140000000,3090000000,5870000000,310000000,15410000000,0,15410000000,16890000000,1730000000,4030000000,22650000000,22650000000,6850000000,430000000,3290000000,50000000,1080000000,8010000000,15930000000,2530000000,5800000000,43970000000,82020000000,12450000000,1140000000,93330000000,1134,82289
2011,Gondia,8840000000,2050000000,3830000000,630000000,15360000000,850000000,16210000000,18150000000,1980000000,5940000000,26070000000,26920000000,7790000000,440000000,3080000000,70000000,1170000000,8690000000,14080000000,2880000000,4910000000,43110000000,85390000000,12090000000,1950000000,95530000000,1329,71894
2012,Gondia,10080000000,2230000000,4870000000,670000000,17850000000,510000000,18360000000,19620000000,2080000000,5710000000,27410000000,27920000000,8610000000,460000000,3380000000,70000000,1230000000,9390000000,15250000000,2930000000,5350000000,46680000000,92450000000,13550000000,2490000000,103510000000,1339,77277
2013,Gondia,9430000000,2050000000,3410000000,720000000,15600000000,230000000,15830000000,21370000000,1970000000,5870000000,29210000000,29440000000,8400000000,470000000,3470000000,70000000,1370000000,10540000000,16830000000,2980000000,5830000000,49960000000,95000000000,13780000000,2400000000,106380000000,1350,78805
2014,Gondia,9070000000,1820000000,3570000000,790000000,15260000000,350000000,15610000000,22430000000,2250000000,6330000000,31000000000,31350000000,8660000000,530000000,3830000000,80000000,1510000000,11340000000,18940000000,3050000000,6500000000,54440000000,101060000000,14660000000,2340000000,113370000000,1360,83334
2015,Gondia,8160000000,2160000000,3990000000,830000000,15140000000,840000000,15980000000,24730000000,2350000000,6420000000,33500000000,34340000000,8660000000,570000000,4250000000,80000000,1780000000,11980000000,20610000000,3190000000,7090000000,58200000000,107680000000,15660000000,1950000000,121400000000,1371,88555
2016,Gondia,11040000000,1890000000,3470000000,1850000000,18250000000,1900000000,20150000000,26040000000,2390000000,6670000000,35090000000,36990000000,9590000000,630000000,4550000000,80000000,1700000000,12460000000,22210000000,3370000000,7770000000,62360000000,117610000000,17100000000,1740000000,132970000000,1380,96332
2017,Gondia,4530000000,1900000000,7270000000,370000000,14070000000,1860000000,15930000000,28170000000,2640000000,6800000000,37620000000,39480000000,10370000000,730000000,4940000000,80000000,1610000000,12800000000,23430000000,3590000000,8420000000,65960000000,119500000000,17730000000,1570000000,135660000000,1389,97660
2018,Gondia,8520000000,2040000000,3400000000,120000000,14080000000,5870000000,19950000000,28650000000,2740000000,6660000000,38050000000,43920000000,10820000000,690000000,5140000000,80000000,1610000000,12910000000,24540000000,3580000000,8780000000,68150000000,126150000000,19440000000,1670000000,143930000000,1398,102968
2019,Gondia,8530000000,2150000000,3240000000,500000000,14420000000,7990000000,22410000000,26600000000,2720000000,6350000000,35680000000,43670000000,10790000000,680000000,5180000000,80000000,1710000000,12620000000,25090000000,3980000000,9140000000,69260000000,127340000000,20060000000,1830000000,145580000000,1406,103509
2011,Hingoli,14150000000,3040000000,1150000000,80000000,18410000000,1330000000,19750000000,10540000000,1150000000,3450000000,15140000000,16480000000,4530000000,260000000,1790000000,40000000,680000000,5050000000,8180000000,1670000000,2850000000,25050000000,59940000000,8490000000,1370000000,67060000000,1183,56697
2012,Hingoli,18830000000,3290000000,1120000000,80000000,23320000000,1110000000,24420000000,11380000000,1200000000,3310000000,15900000000,17010000000,5000000000,270000000,1960000000,40000000,710000000,5450000000,8850000000,1700000000,3100000000,27080000000,67400000000,9890000000,1820000000,75470000000,1192,63317
2013,Hingoli,16910000000,2250000000,1080000000,70000000,20310000000,860000000,21170000000,12470000000,1150000000,3430000000,17050000000,17910000000,4910000000,270000000,2030000000,40000000,800000000,6150000000,9830000000,1740000000,3400000000,29170000000,67390000000,9770000000,1700000000,75460000000,1201,62825
2014,Hingoli,14120000000,8520000000,1050000000,60000000,23740000000,640000000,24380000000,13170000000,1320000000,3720000000,18210000000,18840000000,5090000000,310000000,2250000000,40000000,890000000,6660000000,11120000000,1790000000,3820000000,31970000000,74560000000,10810000000,1730000000,83640000000,1210,69116
2015,Hingoli,7680000000,3740000000,1030000000,50000000,12500000000,1980000000,14490000000,14210000000,1350000000,3690000000,19250000000,21230000000,4980000000,320000000,2440000000,40000000,1030000000,6880000000,11840000000,1830000000,4070000000,33440000000,67170000000,9800000000,1220000000,75750000000,1219,62130
2016,Hingoli,14060000000,2990000000,1020000000,50000000,18120000000,440000000,18560000000,15640000000,1430000000,4010000000,21080000000,21520000000,5760000000,380000000,2740000000,50000000,1020000000,7480000000,13340000000,2030000000,4670000000,37470000000,77110000000,11190000000,1140000000,87170000000,1227,71020
2017,Hingoli,13410000000,3550000000,1210000000,70000000,18240000000,980000000,19230000000,16740000000,1570000000,4040000000,22350000000,23330000000,6160000000,430000000,2940000000,50000000,960000000,7600000000,13920000000,2130000000,5000000000,39190000000,80770000000,11970000000,1060000000,91680000000,1235,74239
2018,Hingoli,14090000000,3760000000,1000000000,90000000,18940000000,260000000,19190000000,17890000000,1710000000,4160000000,23760000000,24010000000,6760000000,430000000,3210000000,50000000,1000000000,8060000000,15330000000,2240000000,5480000000,42550000000,85510000000,13140000000,1130000000,97520000000,1242,78500
2019,Hingoli,17840000000,3860000000,940000000,70000000,22720000000,790000000,23510000000,17380000000,1780000000,4150000000,23300000000,24090000000,7050000000,440000000,3380000000,50000000,1110000000,8240000000,16390000000,2600000000,5970000000,45240000000,92050000000,14020000000,1280000000,104790000000,1250,83852
2011,Jalgaon,59380000000,9880000000,3680000000,380000000,73330000000,8580000000,81910000000,56310000000,6140000000,18440000000,80880000000,89460000000,24170000000,1370000000,9540000000,210000000,3640000000,26970000000,43690000000,8940000000,15250000000,133780000000,296570000000,42000000000,6770000000,331800000000,4254,77998
2012,Jalgaon,50420000000,10380000000,3650000000,240000000,64690000000,2960000000,67650000000,62130000000,6580000000,18090000000,86800000000,89750000000,27270000000,1450000000,10710000000,220000000,3890000000,29740000000,48300000000,9290000000,16950000000,147810000000,302260000000,44320000000,8150000000,338420000000,4295,78790
2013,Jalgaon,71940000000,9250000000,3600000000,80000000,84870000000,190000000,85060000000,68260000000,6280000000,18760000000,93300000000,93490000000,26840000000,1500000000,11090000000,230000000,4390000000,33660000000,53770000000,9510000000,18610000000,159590000000,337950000000,49020000000,8530000000,378440000000,4336,87272
2014,Jalgaon,67170000000,9810000000,3610000000,100000000,80690000000,280000000,80970000000,71710000000,7200000000,20230000000,99150000000,99430000000,27710000000,1690000000,12230000000,240000000,4830000000,36270000000,60580000000,9740000000,20790000000,174090000000,354210000000,51360000000,8210000000,397360000000,4377,90776
2015,Jalgaon,50980000000,8090000000,3610000000,220000000,62910000000,1510000000,64410000000,79170000000,7520000000,20550000000,107240000000,108750000000,27730000000,1810000000,13610000000,250000000,5710000000,38350000000,65960000000,10200000000,22700000000,186320000000,357970000000,52050000000,6480000000,403540000000,4418,91336
2016,Jalgaon,68490000000,9650000000,3920000000,520000000,82590000000,1060000000,83650000000,84490000000,7740000000,21640000000,113870000000,114940000000,31110000000,2050000000,14770000000,250000000,5520000000,40420000000,72070000000,10950000000,25220000000,202370000000,399900000000,58040000000,5900000000,452030000000,4456,101440
2017,Jalgaon,60900000000,11710000000,3810000000,390000000,76810000000,60000000,76860000000,91550000000,8580000000,22100000000,122220000000,122280000000,33690000000,2360000000,16060000000,260000000,5220000000,41580000000,76120000000,11670000000,27350000000,214320000000,413410000000,61210000000,5420000000,469190000000,4492,104450
2018,Jalgaon,51990000000,13680000000,4030000000,420000000,70120000000,2510000000,72630000000,95860000000,9180000000,22280000000,127310000000,129820000000,36220000000,2310000000,17190000000,270000000,5380000000,43200000000,82120000000,11980000000,29370000000,228030000000,427970000000,65820000000,5640000000,488140000000,4528,107812
2019,Jalgaon,53330000000,14040000000,3990000000,270000000,71630000000,6220000000,77850000000,92620000000,9470000000,22110000000,124200000000,130420000000,37560000000,2350000000,18040000000,270000000,5940000000,43930000000,87340000000,13850000000,31820000000,241100000000,443160000000,67810000000,6190000000,504770000000,4563,110616
2011,Jalna,36670000000,3550000000,5040000000,220000000,45470000000,2440000000,47910000000,22000000000,2400000000,7200000000,31600000000,34040000000,9440000000,540000000,3730000000,80000000,1420000000,10540000000,17070000000,3490000000,5960000000,52270000000,131780000000,18660000000,3010000000,147430000000,1969,74892
2012,Jalna,26240000000,3800000000,5140000000,60000000,35230000000,1300000000,36530000000,23970000000,2540000000,6980000000,33480000000,34780000000,10520000000,560000000,4130000000,80000000,1500000000,11470000000,18630000000,3580000000,6540000000,57020000000,127030000000,18630000000,3430000000,142220000000,1985,71655
2013,Jalna,59220000000,4100000000,5200000000,10000000,68530000000,930000000,69460000000,26160000000,2410000000,7190000000,35750000000,36680000000,10290000000,570000000,4250000000,90000000,1680000000,12900000000,20600000000,3640000000,7130000000,61160000000,166370000000,24130000000,4200000000,186300000000,2001,93104
2014,Jalna,14770000000,7870000000,5480000000,200000000,28320000000,1000000000,29320000000,27470000000,2760000000,7750000000,37980000000,38990000000,10620000000,650000000,4690000000,90000000,1850000000,13900000000,23210000000,3730000000,7970000000,66690000000,134000000000,19440000000,3110000000,150330000000,2017,74531
2015,Jalna,17710000000,4200000000,5600000000,260000000,27770000000,2500000000,30270000000,30030000000,2850000000,7790000000,40670000000,43170000000,10520000000,690000000,5160000000,90000000,2170000000,14540000000,25020000000,3870000000,8610000000,70660000000,141610000000,20620000000,2570000000,159660000000,2033,78534
2016,Jalna,31630000000,4650000000,7200000000,260000000,43750000000,2330000000,46070000000,32090000000,2940000000,8220000000,43250000000,45580000000,11820000000,780000000,5610000000,90000000,2100000000,15350000000,27370000000,4160000000,9580000000,76860000000,166180000000,24140000000,2450000000,187870000000,2048,91752
2017,Jalna,17810000000,9870000000,7130000000,290000000,35100000000,5900000000,41000000000,33660000000,3150000000,8120000000,44930000000,50840000000,12390000000,870000000,5910000000,100000000,1920000000,15280000000,27980000000,4290000000,10060000000,78790000000,164730000000,24460000000,2170000000,187020000000,2061,90737
2018,Jalna,17470000000,4480000000,8170000000,70000000,30190000000,17280000000,47470000000,32500000000,3110000000,7550000000,43160000000,60440000000,12280000000,780000000,5830000000,90000000,1820000000,14650000000,27840000000,4060000000,9960000000,77310000000,167950000000,25910000000,2220000000,191640000000,2074,92379
2019,Jalna,32560000000,4650000000,8200000000,180000000,45590000000,80000000,45670000000,36750000000,3760000000,8770000000,49280000000,49370000000,14910000000,930000000,7160000000,110000000,2360000000,17430000000,34660000000,5500000000,12630000000,95670000000,190620000000,28900000000,2640000000,216880000000,2088,103879
2011,Kolhapur,45350000000,25050000000,5500000000,190000000,76080000000,3050000000,79130000000,86090000000,9380000000,28190000000,123660000000,126700000000,36960000000,2100000000,14590000000,320000000,5560000000,41230000000,66790000000,13670000000,23310000000,204530000000,407320000000,57690000000,9300000000,455710000000,3898,116907
2012,Kolhapur,45250000000,26090000000,5510000000,230000000,77090000000,340000000,77430000000,93380000000,9880000000,27200000000,130460000000,130800000000,40980000000,2180000000,16090000000,330000000,5850000000,44700000000,72600000000,13970000000,25470000000,222170000000,430050000000,63000000000,11590000000,481460000000,3936,122327
2013,Kolhapur,50780000000,20540000000,5520000000,10000000,76840000000,450000000,77290000000,101180000000,9310000000,27810000000,138300000000,138750000000,39790000000,2220000000,16440000000,350000000,6500000000,49900000000,79700000000,14100000000,27590000000,236580000000,452180000000,65620000000,11420000000,506380000000,3973,127438
2014,Kolhapur,49340000000,19300000000,5650000000,200000000,74490000000,1110000000,75610000000,106120000000,10660000000,29940000000,146720000000,147830000000,41000000000,2500000000,18100000000,360000000,7150000000,53670000000,89640000000,14410000000,30770000000,257620000000,479940000000,69680000000,11140000000,538480000000,4011,134248
2015,Kolhapur,49450000000,19350000000,5680000000,190000000,74670000000,1320000000,75980000000,117310000000,11140000000,30450000000,158900000000,160210000000,41090000000,2680000000,20160000000,370000000,8460000000,56820000000,97740000000,15110000000,33640000000,276070000000,510950000000,74530000000,9280000000,576200000000,4049,142325
2016,Kolhapur,48690000000,25840000000,6670000000,190000000,81390000000,1280000000,82670000000,125060000000,11460000000,32030000000,168550000000,169830000000,46050000000,3040000000,21870000000,370000000,8170000000,59830000000,106680000000,16210000000,37330000000,299540000000,550760000000,80180000000,8150000000,622790000000,4083,152523
2017,Kolhapur,45310000000,30730000000,6510000000,210000000,82770000000,810000000,83580000000,135480000000,12700000000,32700000000,180880000000,181690000000,49860000000,3490000000,23770000000,390000000,7730000000,61530000000,112650000000,17280000000,40480000000,317170000000,581630000000,86240000000,7640000000,660230000000,4116,160401
2018,Kolhapur,42150000000,32860000000,7200000000,220000000,82430000000,730000000,83170000000,142880000000,13690000000,33200000000,189770000000,190510000000,53980000000,3440000000,25620000000,400000000,8010000000,64390000000,122410000000,17860000000,43780000000,339900000000,612840000000,94360000000,8090000000,699110000000,4149,168508
2019,Kolhapur,41900000000,34040000000,7110000000,370000000,83420000000,5990000000,89410000000,137970000000,14110000000,32930000000,185010000000,191000000000,55960000000,3500000000,26870000000,410000000,8840000000,65440000000,130100000000,20630000000,47400000000,359160000000,633580000000,97190000000,8870000000,721890000000,4181,172642
2011,Latur,27920000000,5790000000,8640000000,410000000,42760000000,700000000,43460000000,32890000000,3580000000,10770000000,47250000000,47950000000,14120000000,800000000,5570000000,120000000,2120000000,15750000000,25520000000,5220000000,8910000000,78140000000,168850000000,23910000000,3860000000,188910000000,2467,76571
2012,Latur,33050000000,6140000000,8630000000,120000000,47940000000,1240000000,49180000000,35230000000,3730000000,10260000000,49220000000,50470000000,15460000000,820000000,6070000000,120000000,2210000000,16860000000,27390000000,5270000000,9610000000,83830000000,182230000000,26700000000,4910000000,204010000000,2489,81956
2013,Latur,43010000000,4970000000,8880000000,110000000,56970000000,300000000,57270000000,38500000000,3540000000,10580000000,52630000000,52930000000,15140000000,840000000,6250000000,130000000,2470000000,18990000000,30330000000,5360000000,10500000000,90030000000,199920000000,29000000000,5050000000,223870000000,2511,89146
2014,Latur,16630000000,3070000000,9420000000,170000000,29290000000,330000000,29620000000,40460000000,4060000000,11420000000,55940000000,56270000000,15630000000,950000000,6900000000,140000000,2730000000,20460000000,34180000000,5500000000,11730000000,98220000000,183780000000,26660000000,4260000000,206180000000,2533,81390
2015,Latur,10990000000,3810000000,9610000000,90000000,24500000000,180000000,24670000000,44920000000,4260000000,11660000000,60840000000,61020000000,15730000000,1030000000,7720000000,140000000,3240000000,21760000000,37420000000,5790000000,12880000000,105710000000,191220000000,27800000000,3460000000,215570000000,2555,84367
2016,Latur,27180000000,7130000000,12600000000,230000000,47140000000,790000000,47930000000,47670000000,4370000000,12210000000,64240000000,65030000000,17550000000,1160000000,8340000000,140000000,3120000000,22800000000,40660000000,6180000000,14230000000,114170000000,226350000000,32850000000,3340000000,255860000000,2575,99356
2017,Latur,25360000000,8500000000,13060000000,500000000,47420000000,550000000,47970000000,51560000000,4830000000,12450000000,68830000000,69380000000,18980000000,1330000000,9050000000,150000000,2940000000,23410000000,42870000000,6570000000,15400000000,120700000000,237500000000,35160000000,3120000000,269550000000,2594,103909
2018,Latur,23190000000,7780000000,16000000000,380000000,47350000000,23820000000,71170000000,47880000000,4590000000,11130000000,63590000000,87420000000,18090000000,1150000000,8590000000,130000000,2690000000,21580000000,41020000000,5980000000,14670000000,113900000000,248660000000,38350000000,3290000000,283730000000,2613,108592
2019,Latur,27720000000,7960000000,16140000000,410000000,52220000000,1680000000,53900000000,53060000000,5430000000,12670000000,71150000000,72840000000,21520000000,1350000000,10330000000,160000000,3400000000,25170000000,50040000000,7930000000,18230000000,138130000000,263180000000,40060000000,3660000000,299590000000,2631,113849
2011,Mumbai,10000000,3890000000,890000000,7560000000,12360000000,330700000000,343060000000,489670000000,53350000000,160320000000,703340000000,1034050000000,210190000000,11920000000,82990000000,1840000000,31630000000,234530000000,379880000000,77760000000,132600000000,1163340000000,2209750000000,312970000000,50460000000,2472250000000,12570,196681
2012,Mumbai,10000000,3360000000,820000000,7870000000,12060000000,322620000000,334680000000,533410000000,56450000000,155350000000,745210000000,1067830000000,234100000000,12440000000,91910000000,1880000000,33410000000,255320000000,414720000000,79780000000,145490000000,1269050000000,2348940000000,345040000000,63480000000,2630490000000,12789,205680
2013,Mumbai,10000000,3560000000,750000000,7980000000,12300000000,275640000000,287930000000,595400000000,54780000000,163650000000,813830000000,1089460000000,234150000000,13050000000,96720000000,2030000000,38250000000,293620000000,469000000000,82940000000,162330000000,1392100000000,2493860000000,363230000000,63220000000,2793870000000,13010,214743
2014,Mumbai,10000000,5820000000,680000000,9310000000,15820000000,366330000000,382160000000,627520000000,63010000000,177060000000,867590000000,1233920000000,242460000000,14790000000,107050000000,2140000000,42260000000,317390000000,530080000000,85240000000,181950000000,1523360000000,2773100000000,393250000000,62890000000,3103470000000,13233,234531
2015,Mumbai,10000000,3400000000,630000000,10310000000,14350000000,385910000000,400250000000,701540000000,66600000000,182080000000,950220000000,1336130000000,245740000000,16030000000,120560000000,2180000000,50610000000,339800000000,584480000000,90390000000,201170000000,1650960000000,3001440000000,424910000000,52880000000,3373470000000,13456,250695
2016,Mumbai,10000000,4960000000,570000000,10160000000,15710000000,406860000000,422570000000,753130000000,69020000000,192870000000,1015020000000,1421870000000,277330000000,18320000000,131690000000,2200000000,49220000000,360280000000,642400000000,97590000000,224830000000,1803860000000,3241450000000,456340000000,46390000000,3651390000000,13673,267049
2017,Mumbai,10000000,4770000000,520000000,10080000000,15390000000,429420000000,444810000000,817870000000,76640000000,197420000000,1091930000000,1521350000000,301010000000,21050000000,143500000000,2340000000,46670000000,371430000000,680010000000,104300000000,244370000000,1914680000000,3451420000000,493750000000,43750000000,3901420000000,13885,280978
2018,Mumbai,10000000,5330000000,480000000,9790000000,15610000000,456890000000,472500000000,869280000000,83270000000,202000000000,1154550000000,1611440000000,328430000000,20930000000,155860000000,2430000000,48750000000,391760000000,744730000000,108650000000,266340000000,2067880000000,3694930000000,545110000000,46730000000,4193310000000,14099,297426
2019,Mumbai,10000000,5690000000,440000000,11360000000,17500000000,493770000000,511270000000,867300000000,88700000000,207030000000,1163020000000,1656790000000,351750000000,22010000000,168910000000,2570000000,55580000000,411390000000,817850000000,129690000000,297960000000,2257700000000,3931990000000,564380000000,51530000000,4444840000000,14313,310537
